Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-da13eb53-37be-446e-b3b2-1e34c64b0dfa,100,10900,AES1,10900,6425,20716,256,8,22.921216,0.6602215189873417,0.6240934131341846,1712869364588,1712869371013,False,./profiling/aes_inputs_100content/run90.json
AS-da13eb53-37be-446e-b3b2-1e34c64b0dfa,100,10900,AES2,43600,12949,20716,256,8,29.073408,1.3367435897435898,1.245517160770299,1712869364590,1712869377539,False,./profiling/aes_inputs_100content/run90.json
AS-da13eb53-37be-446e-b3b2-1e34c64b0dfa,100,10900,AES3,98100,20716,20716,256,8,34.963456,7.293823708206687,1.8709980348537343,1712869364585,1712869385301,False,./profiling/aes_inputs_100content/run90.json
AS-da13eb53-37be-446e-b3b2-1e34c64b0dfa,100,10900,Stats,10900,26,,128,1,13.307904,0.005268656716417911,0.005268656716417911,1712869385342,1712869385368,False,./profiling/aes_inputs_100content/run90.json
AS-28448843-1834-43a4-99e3-a813ec728426,100,7500,wait1,7500,1005,,128,1,10.248192,0.01503125,0.006033778990284093,1712869385903,1712869386908,False,./profiling/aes_inputs_100content/run56.json
AS-28448843-1834-43a4-99e3-a813ec728426,100,7500,AES1,7500,4805,14384,256,8,22.880256,2.2166931818181816,0.6243717909907521,1712869386947,1712869391752,False,./profiling/aes_inputs_100content/run56.json
AS-28448843-1834-43a4-99e3-a813ec728426,100,7500,AES2,30000,9782,14384,256,8,28.99968,4.378675977653631,1.2345401339253432,1712869386940,1712869396722,False,./profiling/aes_inputs_100content/run56.json
AS-28448843-1834-43a4-99e3-a813ec728426,100,7500,AES3,67500,14384,14384,256,8,35.065856,6.750689855072464,1.8722157302072484,1712869386945,1712869401329,False,./profiling/aes_inputs_100content/run56.json
AS-28448843-1834-43a4-99e3-a813ec728426,100,7500,Stats,7500,26,,128,1,14.299136,0.0045,0.0045,1712869401366,1712869401392,False,./profiling/aes_inputs_100content/run56.json
AS-717e0685-345f-48c8-a6cf-9c040383ed93,100,2500,wait1,2500,1006,,128,1,10.01472,0.0156875,0.006195168530788445,1712869401962,1712869402968,False,./profiling/aes_inputs_100content/run6.json
AS-717e0685-345f-48c8-a6cf-9c040383ed93,100,2500,AES1,2500,1836,4515,256,8,22.91712,0.6219565217391304,0.5379166529933295,1712869403021,1712869404857,False,./profiling/aes_inputs_100content/run6.json
AS-717e0685-345f-48c8-a6cf-9c040383ed93,100,2500,AES2,10000,3003,4515,256,8,29.364224,1.3036,1.2344779113530104,1712869403021,1712869406024,False,./profiling/aes_inputs_100content/run6.json
AS-717e0685-345f-48c8-a6cf-9c040383ed93,100,2500,AES3,22500,4515,4515,256,8,35.160064,1.95280625,1.8492551719021624,1712869403005,1712869407520,False,./profiling/aes_inputs_100content/run6.json
AS-717e0685-345f-48c8-a6cf-9c040383ed93,100,2500,Stats,2500,24,,128,1,13.611008,0.004907692307692308,0.004907692307692308,1712869407548,1712869407572,False,./profiling/aes_inputs_100content/run6.json
AS-bf0b98ad-3280-415b-bc7f-f8231c9e1ace,100,9800,wait1,9800,1008,,128,1,10.039296,0.016907692307692308,0.006555513073944196,1712869408090,1712869409098,False,./profiling/aes_inputs_100content/run79.json
AS-bf0b98ad-3280-415b-bc7f-f8231c9e1ace,100,9800,AES1,9800,5783,17453,256,8,22.913024,0.6545812500000001,0.6262515807171876,1712869409164,1712869414947,False,./profiling/aes_inputs_100content/run79.json
AS-bf0b98ad-3280-415b-bc7f-f8231c9e1ace,100,9800,AES2,39200,11538,17453,256,8,29.138944,1.3365961538461537,1.2490933763451961,1712869409168,1712869420706,False,./profiling/aes_inputs_100content/run79.json
AS-bf0b98ad-3280-415b-bc7f-f8231c9e1ace,100,9800,AES3,88200,17453,17453,256,8,35.115008,2.015509677419355,1.8747043612671728,1712869409167,1712869426620,False,./profiling/aes_inputs_100content/run79.json
AS-bf0b98ad-3280-415b-bc7f-f8231c9e1ace,100,9800,Stats,9800,27,,128,1,13.897728,0.004666666666666666,0.004666666666666666,1712869426649,1712869426676,False,./profiling/aes_inputs_100content/run79.json
AS-93395ec2-9a31-40d9-a792-77d884330a47,100,2700,wait1,2700,1004,,128,1,10.027008,0.009078125,0.005878307928676181,1712869427294,1712869428298,False,./profiling/aes_inputs_100content/run8.json
AS-93395ec2-9a31-40d9-a792-77d884330a47,100,2700,AES1,2700,1730,4973,256,8,23.031808,0.6493167701863355,0.5984426516900224,1712869428345,1712869430075,False,./profiling/aes_inputs_100content/run8.json
AS-93395ec2-9a31-40d9-a792-77d884330a47,100,2700,AES2,10800,3204,4973,256,8,29.3888,1.3365705128205128,1.249762455822749,1712869428346,1712869431550,False,./profiling/aes_inputs_100content/run8.json
AS-93395ec2-9a31-40d9-a792-77d884330a47,100,2700,AES3,24300,4973,4973,256,8,36.245504,1.9657672955974843,1.8254363007732375,1712869428347,1712869433320,False,./profiling/aes_inputs_100content/run8.json
AS-93395ec2-9a31-40d9-a792-77d884330a47,100,2700,Stats,2700,31,,128,1,13.758464,0.0051875,0.0051875,1712869433346,1712869433377,False,./profiling/aes_inputs_100content/run8.json
AS-011694e9-f284-4443-a17b-a2477e9cc76c,100,6000,wait1,6000,1007,,128,1,9.936896,0.02173015873015873,0.00638365572645115,1712869433904,1712869434911,False,./profiling/aes_inputs_100content/run41.json
AS-011694e9-f284-4443-a17b-a2477e9cc76c,100,6000,AES1,6000,3549,10684,256,8,23.015424,0.6491055900621118,0.6274024424161553,1712869434952,1712869438501,False,./profiling/aes_inputs_100content/run41.json
AS-011694e9-f284-4443-a17b-a2477e9cc76c,100,6000,AES2,24000,7043,10684,256,8,29.458432,1.3364551282051282,1.2564252705619432,1712869434947,1712869441990,False,./profiling/aes_inputs_100content/run41.json
AS-011694e9-f284-4443-a17b-a2477e9cc76c,100,6000,AES3,54000,10684,10684,256,8,35.807232,2.0034358974358972,1.8761507903320653,1712869434948,1712869445632,False,./profiling/aes_inputs_100content/run41.json
AS-011694e9-f284-4443-a17b-a2477e9cc76c,100,6000,Stats,6000,25,,128,1,13.901824,0.005492537313432836,0.005492537313432836,1712869445658,1712869445683,False,./profiling/aes_inputs_100content/run41.json
AS-491d26cf-9735-4e25-a1ff-05b5f5c16a6a,100,2300,wait1,2300,1008,,128,1,9.822208,0.019907692307692307,0.006525994599053269,1712869446264,1712869447272,False,./profiling/aes_inputs_100content/run4.json
AS-491d26cf-9735-4e25-a1ff-05b5f5c16a6a,100,2300,AES1,2300,1376,4372,256,8,22.994944,0.6493788819875776,0.6209359277977595,1712869447310,1712869448686,False,./profiling/aes_inputs_100content/run4.json
