num_of_processes,num_of_iterations,length_of_message,max_memory_usage,max_cpu_usage
4,40000,150,27.099136,1.3262993630573248
6,90000,150,38.846464,1.9964679487179489
3,15000,350,24.518656,1.0014203821656051
4,40000,350,27.2384,1.3443354838709678
6,90000,350,38.162432,2.007603773584905
4,20000,450,26.89024,1.3450129032258065
2,20000,450,21.618688,0.710687074829932
8,120000,450,38.162432,2.6692756410256413
4,20000,350,27.430912,1.3367179487179488
5,50000,350,30.175232,1.6908441558441558
4,60000,350,29.02016,1.362941176470588
2,10000,250,21.671936,0.6698269230769232
3,30000,250,24.363008,1.0116875
6,90000,250,34.779136,2.001339743589744
3,15000,50,24.526848,0.9721863354037268
3,30000,50,23.883776,0.9888481012658228
7,105000,50,37.634048,2.320605095541401
3,15000,350,24.576,1.0035833333333333
3,30000,350,24.485888,1.0035192307692309
7,105000,350,38.006784,2.3653636363636363
2,10000,350,21.475328,0.6783741935483871
6,60000,350,32.493568,2.0157096774193546
5,75000,350,32.763904,1.679883870967742
1,5000,450,18.931712,0.3361346153846153
5,50000,450,29.847552,1.6804258064516129
8,120000,450,41.75872,2.6695192307692306
1,5000,50,19.124224,0.410639751552795
5,50000,50,29.687808,1.6673885350318471
8,120000,50,42.860544,2.6457025316455693
2,10000,450,21.663744,0.6665859872611466
2,20000,450,21.843968,0.6666496815286624
7,105000,450,39.804928,2.335839743589744
4,20000,150,26.816512,1.319006329113924
3,30000,150,24.510464,0.997407643312102
4,60000,150,32.108544,1.3541753246753243
1,5000,450,19.222528,0.3364487179487179
3,30000,450,24.297472,0.9968025477707004
6,90000,450,38.330368,2.0037612903225805
4,20000,250,27.025408,1.3355576923076922
3,30000,250,24.301568,1.0065741935483872
5,75000,250,35.270656,1.6691858974358975
4,20000,450,26.99264,1.3362179487179486
2,20000,450,22.065152,0.6777532467532467
4,60000,450,31.797248,1.3417870967741936
1,5000,350,18.935808,0.3870802469135803
6,60000,350,32.579584,2.027331168831169
6,90000,350,37.64224,2.042450980392157
2,10000,450,21.925888,0.675767741935484
6,60000,450,32.448512,2.025441558441558
5,75000,450,30.232576,1.6804967741935484
4,20000,250,27.226112,1.3301354838709678
2,20000,250,22.028288,0.6692307692307692
8,120000,250,39.534592,2.653897435897436
2,10000,50,22.028288,0.6591490683229815
5,50000,50,29.528064,1.640681818181818
6,90000,50,34.11968,1.98771974522293
2,10000,350,21.520384,0.6766
6,60000,350,32.735232,2.028632258064516
6,90000,350,34.414592,2.014670967741936
3,15000,450,24.530944,0.9905316455696204
4,40000,450,27.136,1.3355448717948717
5,75000,450,32.182272,1.673948717948718
3,15000,350,24.383488,0.9944102564102564
2,20000,350,21.774336,0.6647643312101912
7,105000,350,38.383616,2.4290000000000003
1,5000,250,19.316736,0.3391428571428572
3,30000,250,24.576,1.0041623376623376
7,105000,250,38.703104,2.368246753246753
4,20000,50,27.242496,1.2946770186335406
4,40000,50,27.480064,1.345141935483871
6,90000,50,36.102144,1.9776114649681529
1,5000,450,19.070976,0.3390645161290322
5,50000,450,30.035968,1.6782709677419354
6,90000,450,36.47488,2.0264675324675325
1,5000,350,18.993152,0.3389483870967741
6,60000,350,32.817152,2.014774193548387
7,105000,350,40.349696,2.374094339622641
2,10000,250,21.87264,0.6617025316455696
2,20000,250,22.183936,0.663516339869281
4,60000,250,32.333824,1.3283184713375795
3,15000,50,24.674304,0.97789375
4,40000,50,27.01312,1.3411038961038964
6,90000,50,37.45792,2.038091503267974
3,15000,150,24.612864,0.9846918238993712
5,50000,150,30.212096,1.6689102564102565
4,60000,150,31.985664,1.3379551282051283
3,15000,350,24.35072,1.0097548387096775
5,50000,350,29.319168,1.6917012987012985
7,105000,350,39.677952,2.350741935483871
1,5000,50,19.124224,0.4112215189873418
3,30000,50,25.174016,0.9905732484076434
8,120000,50,42.545152,2.717438271604938
2,10000,350,21.942272,0.6696153846153846
5,50000,350,30.171136,1.680058064516129
7,105000,350,40.062976,2.3729079754601226
1,5000,150,19.369984,0.3323229813664596
6,60000,150,32.473088,2.0517935483870966
6,90000,150,36.777984,2.0374675324675326
4,20000,250,26.959872,1.3358205128205127
2,20000,250,22.249472,0.664891719745223
6,90000,250,36.94592,2.024367741935484
3,15000,150,24.256512,1.0024615384615383
3,30000,150,24.84224,1.0157106918238994
6,90000,150,37.081088,1.989261146496815
1,5000,350,19.267584,0.3408765432098765
3,30000,350,24.936448,1.018044585987261
5,75000,350,33.906688,1.6865769230769232
1,5000,250,19.2512,0.3390193548387096
6,60000,250,32.116736,2.0139290322580643
7,105000,250,40.062976,2.348567741935484
3,15000,50,24.55552,0.990025316455696
3,30000,50,24.530944,0.9823417721518988
6,90000,50,37.195776,2.0326688311688312
4,20000,150,27.021312,1.306746835443038
2,20000,150,21.835776,0.6782547770700637
6,90000,150,37.298176,2.0030192307692305
3,15000,450,24.383488,1.0156038961038962
5,50000,450,29.597696,1.6740387096774192
5,75000,450,34.820096,1.6697307692307692
2,10000,250,21.721088,0.6639316770186334
4,40000,250,27.152384,1.3408025477707006
4,60000,250,31.6416,1.3485961538461535
4,20000,150,27.168768,1.3371410256410257
4,40000,150,27.303936,1.3283821656050956
4,60000,150,32.075776,1.319784810126582
3,15000,150,24.190976,0.9779125
5,50000,150,29.597696,1.6697628205128203
8,120000,150,42.96704,2.6778589743589745
4,20000,450,27.451392,1.3443612903225808
3,30000,450,24.686592,1.0295986842105262
8,120000,450,43.33568,2.685677419354839
4,20000,450,27.025408,1.3326666666666669
3,30000,450,24.485888,1.0298618421052632
6,90000,450,37.756928,2.0034331210191083
4,20000,50,27.041792,1.30034375
6,60000,50,32.288768,2.014025641025641
4,60000,50,31.78496,1.3354871794871794
3,15000,150,24.653824,0.9834331210191084
2,20000,150,22.007808,0.6828300653594771
6,90000,150,37.822464,2.005929487179487
1,5000,250,18.948096,0.3406623376623376
2,20000,250,21.905408,0.6655222929936305
8,120000,250,37.773312,2.703474025974026
1,5000,350,19.267584,0.3364679487179487
2,20000,350,21.925888,0.6652611464968152
6,90000,350,33.718272,2.0140838709677418
4,20000,450,27.426816,1.317145569620253
3,30000,450,24.551424,1.0083207547169812
7,105000,450,37.113856,2.3668343949044583
1,5000,450,19.206144,0.337108280254777
5,50000,450,29.827072,1.6916298701298702
4,60000,450,29.55264,1.339393548387097
3,15000,350,24.252416,1.002474358974359
5,50000,350,29.958144,1.6821233766233767
8,120000,350,40.513536,2.685974193548387
3,15000,250,24.813568,1.0145320512820513
3,30000,250,24.776704,1.0112967741935484
6,90000,250,35.950592,2.01073717948718
4,20000,250,27.078656,1.3452322580645162
5,50000,250,29.908992,1.6589299363057326
4,60000,250,30.232576,1.3973483870967742
3,15000,150,24.383488,0.9653827160493827
6,60000,150,32.288768,2.000442307692308
7,105000,150,39.022592,2.364915584415584
3,15000,250,24.285184,1.0189281045751637
3,30000,250,24.403968,1.0270064935064935
8,120000,250,41.885696,2.6695192307692306
2,10000,150,21.823488,0.6658535031847134
2,20000,150,21.64736,0.6607784810126582
7,105000,150,40.1408,2.33650641025641
2,10000,350,21.712896,0.6690320512820513
4,40000,350,26.918912,1.3349807692307691
6,90000,350,37.613568,2.002525641025641
2,10000,450,22.061056,0.6731483870967742
6,60000,450,32.456704,2.015509677419355
